Key,Id,English(en),German(de),Ukrainian(uk)
enter,17440157696,Enter,Starten,Почати
accomplishments.art_guard,,Created and published the Photon Fusion multiplayer project Art Guard.,Erstellte und veröffentlichte das Photon-Fusion-Multiplayer-Projekt Art Guard.,Створив і опублікував багатокористувацький проєкт Art Guard на Photon Fusion.
accomplishments.asset_store,,Published shader and editor-tool assets on the Unity Asset Store.,Veröffentlichte Shader- und Editor-Tool-Assets im Unity Asset Store.,Опублікував шейдерні асети та інструменти редактора в Unity Asset Store.
accomplishments.freelance,,Freelance asset developer producing technical and visual tools for Unity projects.,Freiberuflicher Asset-Entwickler für technische und visuelle Werkzeuge in Unity-Projekten.,"Фриланс-розробник асетів, що створює технічні та візуальні інструменти для проєктів Unity."
accomplishments.title,,Independent Work,Eigenständige Projekte,Самостійні проєкти
common.asset_integration,,Asset Integration,Asset-Integration,Інтеграція асетів
common.automation,,Automation,Automatisierung,Автоматизація
common.editor_tools,,Editor Tools,Editor-Tools,Інструменти редактора
common.enabled,,Enabled,Aktiviert,Увімкнено
common.gameplay,,Gameplay,Gameplay,Ігровий процес
common.minimum_depth,,Minimum Depth,Mindesttiefe,Мінімальна глибина
common.open_project_page,,Open the project page,Projektseite öffnen,Відкрити сторінку проєкту
common.optimization,,Optimization,Optimierung,Оптимізація
common.radius,,Radius,Radius,Радіус
common.technical_artist,,Technical Artist,Technischer Artist,Технічний художник
common.thickness,,Thickness,Dicke,Товщина
common.unity_developer,,Unity Developer,Unity-Entwickler,Розробник Unity
common.view_project,,View project,Projekt ansehen,Переглянути проєкт
common.view_projects,,View projects,Projekte ansehen,Переглянути проєкти
corepunk.bullet.assets,,Integrated and optimized 3D assets for a large open-world MMORPG while preserving visual quality across platforms.,Integrierte und optimierte 3D-Assets für ein großes Open-World-MMORPG und bewahrte dabei die visuelle Qualität auf allen Plattformen.,"Інтегрував і оптимізував 3D-асети для великої MMORPG з відкритим світом, зберігаючи візуальну якість на різних платформах."
corepunk.bullet.performance,,"Improved texture compression, animation consistency and VFX performance across quality levels.","Verbesserte Texturkomprimierung, Animationskonsistenz und VFX-Performance über verschiedene Qualitätsstufen hinweg.","Покращив стиснення текстур, узгодженість анімацій і продуктивність VFX на різних рівнях якості."
corepunk.bullet.tools,,Developed Unity editor tools that automated unit and mount production workflows.,Entwickelte Unity-Editor-Tools zur Automatisierung der Produktionsabläufe für Einheiten und Reittiere.,"Розробив інструменти редактора Unity, що автоматизували виробничі процеси для юнітів і їздових істот."
corepunk.date,,Sep 2024 – Feb 2026,Sept. 2024 – Feb. 2026,вер. 2024 – лют. 2026
corepunk.tooltip,,Open the official Corepunk website,Offizielle Corepunk-Website öffnen,Відкрити офіційний сайт Corepunk
dissolver.direction,,Dissolve Direction,Dissolve-Richtung,Напрямок розчинення
dissolver.dissolve,,Dissolve,Dissolve,Розчинення
dissolver.edge_width,,Edge Width,Kantenbreite,Ширина краю
dissolver.settings,,Dissolve Settings,Dissolve-Einstellungen,Налаштування розчинення
dissolver.start_at,,Dissolve Start At,Dissolve-Startpunkt,Початок розчинення
education.degree,,Master's Degree · Computer Science,Master · Informatik,Магістр · Комп’ютерні науки
education.meta,,2021 · Ukraine,2021 · Ukraine,2021 · Україна
education.title,,Education,Ausbildung,Освіта
languages.english,,English,Englisch,Англійська
languages.intermediate,,Intermediate,Mittelstufe,Середній рівень
languages.native,,Native,Muttersprache,Рідна
languages.title,,Languages,Sprachen,Мови
languages.ukrainian,,Ukrainian,Ukrainisch,Українська
lastpirate.bullet.ai,,Developed and refined NPC behavior and gameplay systems for a mobile survival title.,Entwickelte und verfeinerte NPC-Verhalten und Gameplay-Systeme für einen Mobile-Survival-Titel.,Розробляв і вдосконалював поведінку NPC та ігрові системи для мобільної гри на виживання.
lastpirate.bullet.design,,Worked with game design to integrate features and improve moment-to-moment player flow.,"Arbeitete mit Game Design zusammen, um Features zu integrieren und den unmittelbaren Spielfluss zu verbessern.",Співпрацював із геймдизайном для інтеграції функцій і покращення щомоментного ігрового потоку.
lastpirate.bullet.performance,,Fixed gameplay issues and optimized project performance across supported mobile devices.,Behob Gameplay-Probleme und optimierte die Projektleistung auf unterstützten Mobilgeräten.,Виправляв проблеми ігрового процесу та оптимізував продуктивність проєкту на підтримуваних мобільних пристроях.
lastpirate.date,,Jan 2022 – Dec 2022,Jan. 2022 – Dez. 2022,січ. 2022 – груд. 2022
lastpirate.meta,,RetroStyle Games · Mobile survival,RetroStyle Games · Mobile-Survival,RetroStyle Games · мобільна гра на виживання
